Expected Realization date,Pre Approval Sent Date,Feb Monthly Forecast,May Monthly Forecast,Mar Monthly Forecast,SAP Approval Status,Approval Date,Post Approver (SAP Approver),Invoice Delta,Customer Name,Remarks,Prepared By,Aug Monthly Forecast,Project Status,Column1,Late Payments,Invoice Status,Apr Monthly Forecast,Financial Year,PO Balance Amount,QB Realization Date,Nudging List Status (LYB),PO Amount Consumed,2025 Invoice Details,Approved Date,Formula 1,Month,Post Approval TAT,Formula,Revenue Realised,Name,Managed Services / Staff Org,Formula 2,Effort Approver,Invoiced $Amount,Pay Terms,Realised in Days,Status,Aging,Contracted Revenue (SoW),Revenue Realised Date,Pre Approval Status,Invoice No.,Approval TAT,Pre-Paid TAT,Jul Monthly Forecast,Resource Approval Status,QB Realization Status,SAP Reflection,Effort Approval Status,Jun Monthly Forecast,Submission TAT,Invoice Submission Date,PO Number,Project Master,Reflection TAT,SAP Reflection Date,Taulia - Paid Date,Resource Approver,Jan Monthly Forecast
24 Feb 2025,,,,,,,,,Dell,,,,"Completed, Ongoing",,4,,,2025,,28 Feb 2025,,,,,,01_Jan,,,,,,,,"$127,000.00",30,36,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 8 TO Dell_Aligned Automation Tech Direct SOW Phase 2-Cost of Support Services,,,CSS-25-001-JAN,,,,,Realised,,,,,24 Jan 2025,,Dell - Cost of Support Services | INT - Dell - WFM - Presales,,,,,
28 Jun 2026,,,,,,,,,Dell,,,,,,,,,2026,,,,,,,,05_May,,,,,,,,"$44,000.00",30,,Invoice Raised,Pending,AMENDMENT NO. 1 TO AlignedAutomation Consulting Services Customer Success Customer Reporting,,,CSCR-26-005-MAY,,,,,Pending,,,,,28 May 2026,PO767781,Dell - Customer Success Customer Reporting,,,,,
23 Nov 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,26 Nov 2025,,,,,,10_Oct,,,,,,,,"$44,000.00",30,35,Invoice Raised,Between 31 to 45 Days,Customer Success Customer Reporting,,,CSCR-25-010-OCT,,,,,Realised,,,,,23 Oct 2025,,Dell - Customer Success Customer Reporting,,,,,
23 Aug 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,26 Aug 2025,,,,,,07_Jul,,,,,,,,"$44,000.00",30,35,Invoice Raised,Between 31 to 45 Days,Customer Success Customer Reporting,,,CSCR-25-007-JUL,,,,,Realised,,,,,23 Jul 2025,,Dell - Customer Success Customer Reporting,,,,,
27 Jul 2025,,,,,,,,,Dell,,,,Ongoing,,0,,,2025,,25 Jul 2025,,,,,,06_Jun,,,,,,,,"$44,000.00",30,30,Invoice Raised,Between 16 to 30 Days,Customer Success Customer Reporting,,,CSCR-25-006-JUN,,,,,Realised,,,,,26 Jun 2025,,Dell - Customer Success Customer Reporting,,,,,
22 Jan 2026,,,,,,,,,Dell,,,,Ongoing,,1,,,2025,,23 Jan 2026,,,,,,12_Dec,,,,,,,,"$44,000.00",30,33,Invoice Raised,Between 31 to 45 Days,Customer Success Customer Reporting,,,CSCR-25-012-DEC,,,,,Realised,,,,,22 Dec 2025,,Dell - Customer Success Customer Reporting,,,,,
27 Mar 2026,,,,,,,,,Dell,,,,,,0,,,2026,,27 Mar 2026,,,,,,02_Feb,,,,,,,,"$44,000.00",30,32,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 1 TO AlignedAutomation Consulting Services Customer Success Customer Reporting,,,CSCR-26-002-FEB,,,,,Realised,,,,,24 Feb 2026,PO767781,Dell - Customer Success Customer Reporting,,,,,
21 Dec 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,24 Dec 2025,,,,,,11_Nov,,,,,,,,"$44,000.00",30,35,Invoice Raised,Between 31 to 45 Days,Customer Success Customer Reporting,,,CSCR-25-011-NOV,,,,,Realised,,,,,20 Nov 2025,,Dell - Customer Success Customer Reporting,,,,,
24 Sep 2025,,,,,,,,,Dell,,,,Ongoing,,1,,,2025,,25 Sep 2025,,,,,,08_Aug,,,,,,,,"$44,000.00",30,33,Invoice Raised,Between 31 to 45 Days,Customer Success Customer Reporting,,,CSCR-25-008-AUG,,,,,Realised,,,,,24 Aug 2025,,Dell - Customer Success Customer Reporting,,,,,
25 Oct 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,28 Oct 2025,,,,,,09_Sep,,,,,,,,"$44,000.00",30,35,Invoice Raised,Between 31 to 45 Days,Customer Success Customer Reporting,,,CSCR-25-009-SEPT,,,,,Realised,,,,,24 Sep 2025,,Dell - Customer Success Customer Reporting,,,,,
23 Apr 2026,,,,,,,,,Dell,,,,,,1,,,2026,,24 Apr 2026,,,,,,03_Mar,,,,,,,,"$44,000.00",30,33,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 1 TO AlignedAutomation Consulting Services Customer Success Customer Reporting,,,CSCR-26-003-MAR,,,,,Realised,,,,,23 Mar 2026,PO767781,Dell - Customer Success Customer Reporting,,,,,
23 Feb 2026,,,,,,,,,Dell,,,,,,0,,,2026,,23 Feb 2026,,,,,,01_Jan,,,,,,,,"$44,000.00",30,32,Invoice Raised,Between 31 to 45 Days,Customer Success Customer Reporting,,,CSCR-26-001-JAN,,,,,Realised,,,,,23 Jan 2026,PO683500,Dell - Customer Success Customer Reporting,,,,,
22 Jun 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,25 Jun 2025,,,,,,05_May,,,,,,,,"$44,000.00",30,35,Invoice Raised,Between 31 to 45 Days,Customer Success Customer Reporting,,,CSCR-25-005-MAY,,,,,Realised,,,,,22 May 2025,,Dell - Customer Success Customer Reporting,,,,,
24 May 2026,,,,,,,,,Dell,Paid,,,,,4,,,2026,,28 May 2026,,,,,,04_Apr,,,,,,,,"$44,000.00",30,36,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 1 TO AlignedAutomation Consulting Services Customer Success Customer Reporting,,,CSCR-26-004-APR,,,,,Realised,,,,,23 Apr 2026,PO767781,Dell - Customer Success Customer Reporting,,,,,
18 Jun 2026,,,,,,,,,Dell,Paid,,,,,0,,,2026,,18 Jun 2026,,,,,,04_Apr,,,,,,,,"$7,000.00",30,32,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 9 TO TECHDIRECT UN-ASSISTED RED PATH STATEMENT OF WORK – PHASE 3 (EMEA & JAPAN) - DTD,,,TDA-26-004-APR,,,,,Realized,,,,,18 May 2026,PO691499,Dell - DTD,,,,,
23 Oct 2025,,,,,,,,,Dell,,,,Ongoing,,1,,,2025,,24 Oct 2025,,,,,,08_Aug,,,,,,,,"$18,563.55",30,33,Invoice Raised,Between 31 to 45 Days,TechDirect statement of work Phase 2-DTD,,,TDA-25-008-AUG,,,,,Realised,,,,,22 Sep 2025,,Dell - DTD,,,,,
24 Jul 2025,,,,,,,,,Dell,,,,Ongoing,,1,,,2025,,25 Jul 2025,,,,,,05_May,,,,,,,,"$18,269.00",30,33,Invoice Raised,Between 31 to 45 Days,TechDirect statement of work Phase 2-DTD,,,TDA-25-005-MAY,,,,,Realised,,,,,23 Jun 2025,,Dell - DTD,,,,,
17 Jul 2026,,,,,,,,,Dell,,,,,,,,,2026,,,,,,,,05_May,,,,,,,,"$5,921.00",30,,Invoice Raised,Pending,TechDirect statement of work Phase 2-DTD,,,TDA-26-005B-MAY,,,,,Pending,,,,,16 Jun 2026,PO691499 | U02500000001020,Dell - DTD,,,,,
17 Jul 2026,,,,,,,,,Dell,,,,,,,,,2026,,,,,,,,05_May,,,,,,,,"$1,750.00",30,,Invoice Raised,Pending,Depot AMC amendment,,,TDA-26-005B-MAY,,,,,Pending,,,,,16 Jun 2026,PO691499 | U02500000001020,Dell - DTD,,,,,
14 Mar 2026,,,,,,,,,Dell,,,,,,3,,,2026,,17 Mar 2026,,,,,,01_Jan,,,,,,,,"$1,750.00",30,35,Invoice Raised,Between 31 to 45 Days,Depot AMC amendment,,,TDA-26-001B-JAN,,,,,Realised,,,,,11 Feb 2026,PO691807,Dell - DTD,,,,,
28 Nov 2025,,,,,,,,,Dell,,,,Ongoing,,0,,,2025,,28 Nov 2025,,,,,,09_Sep,,,,,,,,"$1,750.00",30,32,Invoice Raised,Between 31 to 45 Days,Depot AMC amendment,,,TDA-25-009-SEPT,,,,,Realised,,,,,28 Oct 2025,,Dell - DTD,,,,,
14 Mar 2026,,,,,,,,,Dell,,,,,,3,,,2026,,17 Mar 2026,,,,,,01_Jan,,,,,,,,"$6,735.50",30,35,Invoice Raised,Between 31 to 45 Days,"Amendment 2 TechDirect, Field, Depot & E support Every Defect Matters",,,TDEDM-26-001-JAN,,,,,Realised,,,,,11 Feb 2026,PO611864,Dell - DTD,,,,,
16 May 2026,,,,,,,,,Dell,,,,,,3,Paid,,2026,,19 May 2026,,,,,,03_Mar,,,,,,,,"$39,700.30",30,35,Invoice Raised,Between 31 to 45 Days,TechDirect statement of work Phase 2-DTD,,,TDA-26-003-MAR,,,,,Realised,,,,,15 Apr 2026,PO691499,Dell - DTD,,,,,
14 Mar 2026,,,,,,,,,Dell,,,,,,3,,,2026,,17 Mar 2026,,,,,,01_Jan,,,,,,,,"$8,925.00",30,35,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 9 TO TECHDIRECT UN-ASSISTED RED PATH STATEMENT OF WORK – PHASE 2 - DTD,,,TDA-26-001A-JAN,,,,,Realised,,,,,11 Feb 2026,PO611864,Dell - DTD,,,,,
16 Jun 2025,,,,,,,,,Dell,,,,Ongoing,,2,,,2025,,18 Jun 2025,,,,,,03_Mar,,,,,,,,"$1,415.00",30,34,Invoice Raised,Between 31 to 45 Days,"Amendment 2 TechDirect, Field, Depot & E support Every Defect Matters",,,TDEDM25003MAR2,,,,,Realised,,,,,16 May 2025,,Dell - DTD,,,,,
18 Jun 2026,,,,,,,,,Dell,Paid,,,,,0,,,2026,,18 Jun 2026,,,,,,04_Apr,,,,,,,,"$26,605.40",30,32,Invoice Raised,Between 31 to 45 Days,TechDirect statement of work Phase 2-DTD,,,TDA-26-004-APR,,,,,Realized,,,,,18 May 2026,PO691499,Dell - DTD,,,,,
28 Feb 2026,,,,,,,,,Dell,,,,Ongoing,,0,,,2025,,27 Feb 2026,,,,,,12_Dec,,,,,,,,"$1,750.00",30,31,Invoice Raised,Between 31 to 45 Days,Depot AMC amendment,,,TDA-25-012-DEC,,,,,Realised,,,,,28 Jan 2026,,Dell - DTD,,,,,
22 Mar 2025,,,,,,,,,Dell,,,,Ongoing,,2,,,2025,,24 Mar 2025,,,,,,01_Jan,,,,,,,,"$3,203.00",30,34,Invoice Raised,Between 31 to 45 Days,"Amendment 2 TechDirect, Field, Depot & E support Every Defect Matters",,,TDEDM-25-001-JAN,,,,,Realised,,,,,19 Feb 2025,,Dell - DTD,,,,,
08 Feb 2026,,,,,,,,,Dell,,,,,,2,,,2025,,10 Feb 2026,,,,,,10_Oct,,,,,,,,"$7,000.00",30,34,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 9 TO TECHDIRECT UN-ASSISTED RED PATH STATEMENT OF WORK – PHASE 3 (EMEA & JAPAN) - DTD,,,TDA-25-012-NOV,,,,,Realised,,,,,08 Jan 2026,,Dell - DTD,,,,,
16 May 2026,,,,,,,,,Dell,,,,,,3,Paid,,2026,,19 May 2026,,,,,,03_Mar,,,,,,,,"$3,720.75",30,35,Invoice Raised,Between 31 to 45 Days,"Amendment 2 TechDirect, Field, Depot & E support Every Defect Matters",,,TDEDM-26-003-MAR,,,,,Realised,,,,,15 Apr 2026,PO691499,Dell - DTD,,,,,
19 Sep 2025,,,,,,,,,Dell,,,,Ongoing,,3,,,2025,,22 Sep 2025,,,,,,07_Jul,,,,,,,,"$18,246.00",30,35,Invoice Raised,Between 31 to 45 Days,TechDirect statement of work Phase 2-DTD,,,TDA-25-007-JUL,,,,,Realised,,,,,19 Aug 2025,,Dell - DTD,,,,,
19 Apr 2025,,,,,,,,,Dell,,,,Ongoing,,23,,,2025,,12 May 2025,,,,,,02_Feb,,,,,,,,"$22,455.15",30,55,Invoice Raised,Between 46 to 60 Days,TechDirect statement of work Phase 2-DTD,,,TDA-25-002-FEB,,,,,Realised,,,,,19 Mar 2025,,Dell - DTD,,,,,
08 Feb 2026,,,,,,,,,Dell,,,,Ongoing,,2,,,2025,,10 Feb 2026,,,,,,11_Nov,,,,,,,,"$16,757.50",30,34,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 9 TO TECHDIRECT UN-ASSISTED RED PATH STATEMENT OF WORK – PHASE 2 - DTD,,,TDA-25-012-NOV,,,,,Realised,,,,,08 Jan 2026,,Dell - DTD,,,,,
17 Jul 2026,,,,,,,,,Dell,,,,,,,,,2026,,,,,,,,05_May,,,,,,,,"$4,893.50",30,,Invoice Raised,Pending,AMENDMENT NO. 9 TO TECHDIRECT UN-ASSISTED RED PATH STATEMENT OF WORK – PHASE 2 - DTD,,,TDA-26-005A-MAY,,,,,Pending,,,,,16 Jun 2026,PO691499 | U02500000000857,Dell - DTD,,,,,
23 Oct 2025,,,,,,,,,Dell,,,,Ongoing,,1,,,2025,,24 Oct 2025,,,,,,08_Aug,,,,,,,,"$8,746.50",30,33,Invoice Raised,Between 31 to 45 Days,"Amendment 2 TechDirect, Field, Depot & E support Every Defect Matters",,,TDEDM-25-008-AUG,,,,,Realised,,,,,22 Sep 2025,,Dell - DTD,,,,,
02 Jan 2026,,,,,,,,,Dell,,,,Ongoing,,0,,,2025,,02 Jan 2026,,,,,,10_Oct,,,,,,,,"$7,561.50",30,32,Invoice Raised,Between 31 to 45 Days,"Amendment 2 TechDirect, Field, Depot & E support Every Defect Matters",,,TDEDM-25-010-OCT,,,,,Realised,,,,,02 Dec 2025,,Dell - DTD,,,,,
28 Nov 2025,,,,,,,,,Dell,,,,Ongoing,,0,,,2025,,28 Nov 2025,,,,,,09_Sep,,,,,,,,"$19,079.85",30,32,Invoice Raised,Between 31 to 45 Days,TechDirect statement of work Phase 2-DTD,,,TDA-25-009-SEPT,,,,,Realised,,,,,28 Oct 2025,,Dell - DTD,,,,,
21 Aug 2025,,,,,,,,,Dell,,,,Ongoing,,1,,,2025,,22 Aug 2025,,,,,,06_Jun,,,,,,,,"$8,233.00",30,33,Invoice Raised,Between 31 to 45 Days,"Amendment 2 TechDirect, Field, Depot & E support Every Defect Matters",,,TDEDM-25-006-JUN,,,,,Realised,,,,,21 Jul 2025,,Dell - DTD,,,,,
17 Jul 2026,,,,,,,,,Dell,,,,,,,,,2026,,,,,,,,05_May,,,,,,,,"$19,464.85",30,,Invoice Raised,Pending,TechDirect statement of work Phase 2-DTD,,,TDA-26-005A-MAY,,,,,Pending,,,,,16 Jun 2026,PO691499 | U02500000000857,Dell - DTD,,,,,
17 Apr 2026,,,,,,,,,Dell,,,,,,5,,,2026,,22 Apr 2026,,,,,,02_Feb,,,,,,,,"$7,000.00",30,37,Invoice Raised,Between 31 to 45 Days,AMENDMENT NO. 9 TO TECHDIRECT UN-ASSISTED RED PATH STATEMENT OF WORK – PHASE 3 (EMEA & JAPAN) - DTD,,,TDA-26-002-FEB,,,,,Realised,,,,,17 Mar 2026,PO611864,Dell - DTD,,,,,
24 Jul 2025,,,,,,,,,Dell,,,,Ongoing,,1,,,2025,,25 Jul 2025,,,,,,05_May,,,,,,,,"$1,750.00",30,33,Invoice Raised,Between 31 to 45 Days,Depot AMC amendment,,,TDA-25-005-MAY,,,,,Realised,,,,,23 Jun 2025,,Dell - DTD,,,,,
22 Feb 2026,,,,,,,,,Dell,,,,Ongoing,,1,,,2025,,23 Feb 2026,,,,,,12_Dec,,,,,,,,"$6,407.75",30,33,Invoice Raised,Between 31 to 45 Days,"Amendment 2 TechDirect, Field, Depot & E support Every Defect Matters",,,TDEDM-25-012-DEC,,,,,Realised,,,,,22 Jan 2026,,Dell - DTD,,,,,
22 Mar 2025,,,,,,,,,Dell,,,,Ongoing,,2,,,2025,,24 Mar 2025,,,,,,01_Jan,,,,,,,,"$1,750.00",30,34,Invoice Raised,Between 31 to 45 Days,Depot AMC amendment,,,TDA-25-001-JAN,,,,,Realised,,,,,19 Feb 2025,,Dell - DTD,,,,,
